SubjectID,SubjectName,SubjectDescription,Name,NumericCode,CourseCode,Description,Prerequisite,Antirequisite,Corequisite,OneWayExclusion,CrossListed
0,Accounting,,Strategic Aspects of Accounting,664D2,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.",ACCT 664D1,,,,
0,Accounting,,Assurance Services,687,ACCT,"Performing both internal audit projects and external assurance engagements; from understanding how governance plays a key role, assessing the need for an engagement, to developing and performing the procedures, through to documenting and reporting results. While this course is primarily designed for students who wish to practise public accounting or to work in internal audit, it would be beneficial to a wide range of students because it focuses on the key concepts of auditing, such as risk, materiality, and internal control, which are concepts that have broad application.",,Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.,,,
0,Accounting,,Strategic Aspects of Accounting,664D1,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Accounting and Performance Management,685,ACCT,"Applying conceptual frameworks for strategy, governance, risk, and performance in complex settings. Contributing to strategic decision-making, supporting effective governance, managing and mitigating risk, and assessing overall performance management. Focusing on improving performance and delivering sustainable value.",,,,,
0,Accounting,,Advanced Topics in Accounting,690,ACCT,A learning cell in which one or more students work with a faculty member.,,,,,
0,Accounting,,Financial Business Analysis,689,ACCT,"Developing overall finance policies and identifying, analyzing, evaluating, and recommending investment and financing decisions. Applying appropriate finance principles and conceptual approaches to determine appropriate courses of action. Providing finance-related services for an entity, either individually or as part of a larger team, understanding when the advice of a finance specialist is required, and understanding and communicating with other finance professionals.","ACCT 653, ACCT 654, ACCT 663, ACCT 664",Open only to students in the Graduate Certificate in Professional Accounting (GCPA) program.,,,
0,Accounting,,Exam Preparation Seminar,699,ACCT,Using complex and highly integrative cases that simulate real-life business issues to apply the technical and enabling competencies acquired throughout the CPA certification program. Practicing developing responses to business simulations and communicating a well-structured response.,,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Research Design in Accounting,706,ACCT,Course is designed in two parts. The first part covers major research design issues relevant to all fields of accounting. The second part addresses critical methodological issues specific to various fields of accounting research.,,,,,
0,Accounting,,Seminar in Accounting,705,ACCT,Seminar in Accounting.,,,,,
1,Biology (Agric & Envir Sc),,General Biology,120,AEBI,"An introduction to the structure, function and adaptation of plants and animals in the biosphere.",,Not open to students who have passed CEGEP objective 00UK or equivalent (formerly Biology 301),,,
1,Biology (Agric & Envir Sc),,Cell Biology,122,AEBI,"Chemical basis for cell biology; enzymes in biological reactions; membranes and the cell surface; cellular energetics; cell synthesis and growth; mitosis, meiosis and genetic consequences.",AECH 110,"Open only to Freshman students in FAES; not equivalent to LSCI 202; not open to students who have taken CEGEP competency OOXU or equivalent, or BIOL 112.",,,
0,Accounting,,Advanced Topics in Accounting Analytics,696,ACCT,Current emerging topics in accounting analytics. Course content will vary each term.,,,,,
1,Biology (Agric & Envir Sc),,Organisms,210,AEBI,"The biology of plants and plant-based systems in managed and natural terrestrial environments. The interactions between autotrophs and soil organisms and selected groups of animals with close ecological and evolutionary connections with plants (e.g., herbivores and pollinators) will be explored in lecture and laboratory.",,,,,
0,Accounting,,Integrative Analysis,695,ACCT,"Integration of the enabling competencies and the six technical competency areas required of a CPA. Developing strategic leadership capabilities and the ability to bring an integrative perspective to decision-making including: professional and ethical behaviour, problem-solving and decision-making, communication (both written and oral), self-management, teamwork and leadership.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Accountability and Sustainability,707,ACCT,The course provides an overview of key research on the broader role of accounting and accountability in shaping sustainable organizational and societal practices. The course focuses on most recent theoretical and empirical advances in two rapidly growing interrelated fields of research: environmental accounting and social accounting.,,,,,
1,Biology (Agric & Envir Sc),,Organisms,211,AEBI,"Introduction to the biology, physiology, structure and function of heterotrophs and their interactions with other organisms. This course will focus on animals in terrestrial, freshwater and marine environments. Topics include bioenergetics and functional metabolism, adaptations to environments, animal-animal, animal-plant, and animal-pathogen interactions.",,Not open to students who have taken WILD 200,,,
2,Chemistry (Agric&EnvirSci),,General Chemistry,110,AECH,"The course will be a study of the fundamental principles of atomic structure, valence theory and the periodic table.",,Note open to students who have taken FDSC 110.,,,
1,Biology (Agric & Envir Sc),,Sustainable Land Use,423,AEBI,"Management, preservation, and utilization of forage crops in sustainable tropical environments; examination of their value as livestock feed in terms of nutritional composition and impact on animal performance; land use issues as it pertains to forage and animal production in insular environments.",,Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester,,,
1,Biology (Agric & Envir Sc),,Tropical Horticultural Ecology,421,AEBI,"A comprehensive survey of the major fruit, vegetable, turf, and ornamental crops grown in Barbados. Effect of cultural practices, environment, pests and pathogens, social and touristic activities, and importation of horticultural produce on local horticulture.",,Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester,,,
1,Biology (Agric & Envir Sc),,Tropical Energy and Food,425,AEBI,"Tropical biofuel crops, conversion processes and final products, particularly energy and greenhouse gas balances and bionutraceuticals. Topics include effects of process extraction during refining on biofuel economics, the food versus fuel debate and impact of biofuels and bioproducts on tropical agricultural economics.",,Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester,,,
1,Biology (Agric & Envir Sc),,Evolution and Phylogeny,212,AEBI,"A phylogenetic-based overview of the tree of life and examination of relationships between major taxa, from bacteria and archaea to eukaryotes. Evolution will be discussed via topics including: evolution by natural selection, neo-Darwinism and alternatives, myths and misconceptions in evolution, species and speciation.",,Not open to students who have taken WILD 212.,,,
1,Biology (Agric & Envir Sc),,Barbados Interdisciplinary Project,427,AEBI,"The planning of projects and research activities related to tropical food, nutrition, or energy at the local, regional, or national scale in Barbados. Projects and activities designed in consultation with university instructors, government, NGO, or private partners, and prepared by teams of 2-3 students working cooperatively with these mentors.",,Restricted to students that are participating in the Barbados Interdisciplinary Tropical Studies Field Semester,,,
2,Chemistry (Agric&EnvirSci),,General Chemistry,111,AECH,"Thermodynamics, kinetics, equilibrium, aqueous solution chemistry including applications to acids, bases and buffers and selected topics in organic chemistry.",,Not open to students who have taken FDSC 111.,,,
2,Chemistry (Agric&EnvirSci),,General Chemistry Laboratory,118,AECH,The laboratory component of AECH 110. Illustrative experiments.,Permission of instructor.,"Open only to entering students who have the lecture equivalent of AECH 110. Not open to students who have taken or are taking AECH 110, CHEM 110, or CHEM 112.",,,
2,Chemistry (Agric&EnvirSci),,General Chemistry Laboratory,119,AECH,The laboratory component of AECH 111. Illustrative experiments.,Permission of instructor.,"Open only to entering students who have the lecture equivalent of AECH 111. Not open to students who have taken or are taking AECH 111, CHEM 120, or CHEM 122.",,,
3,English (Agric & Envir Sc),,Science Literacy,205,AEHM,Development of English language and information literacy. Problem-based approach using science topics from specializations offered by the Faculty will be central to skill development. The course includes how to research and compose work in scientific format and will encourage a reader-oriented style.,,,,,
4,Mathematics (Agric&Envir Sci),,Calculus,102,AEMA,"Integration, the indefinite and definite integral. Trapezoidal and Simpson's Rule approximations for the integral. Applications to areas between curves, distance, volume, length of a curve, work, area of a surface of revolution, average values, moments, etc. Improper integrals and infinite series.",Calculus 1 or equivalent,,,,
3,English (Agric & Envir Sc),,ESL: High Intermediate,301,AEHM,"A continuation of AEHM 300. Further improves proficiency of general writing skills while developing reading, oral and aural skills. Focuses on the structure of the English language and the process required to produce coherent short papers. Emphasis on the English of food, agriculture, and the environment.",AEHM 300 or placement test,"open to full-time, non-anglophone students. Not eligible for ESL courses are: 1. non-anglophone students who, for a period of more than four years, have attended secondary institutions (high school and CEGEP) where the primary language of instruction was English, and 2. students who have taken university-level courses judged to be equivalent to the McGill courses AEHM 300 and ESLN 300 and CESL 300; AEHM 301 and ESLN 301 and CESL 301. These courses are equivalent and mutually exclusive.",,,
4,Mathematics (Agric&Envir Sci),,Calculus,101,AEMA,"A review of functions and graphs. Limits, continuity, derivatives. Differentiation of elementary functions. Anti-differentiation. Applications.",a course in functions,,,,
3,English (Agric & Envir Sc),,Academic and Scientific Writing,330,AEHM,"The object of the course is to enable students who have previously mastered the basic elements of written English to produce well-written, well-researched, and well-documented scientific papers for an academic audience and beyond.",,,,,
4,Mathematics (Agric&Envir Sci),,Precalculus Lab,105,AEMA,"Problem-solving: foundational material in algebra concepts, functions and graphs, polynomials and rational functions, exponential and logarithmic functions, graphs and equations, trigonometry, analytic trigonometry, systems of linear equations, sequences & series.",,"Open only to students in FAES whose background is deficient in Precalculus mathematics. Not open to students who have taken CEGEP competency OOUP, AEMA 102, or equivalent. Not open to students who have taken AEMA 100 or MATH 112. Permission of instructor required.",,,
4,Mathematics (Agric&Envir Sci),,Environmetrics Stage,403,AEMA,"Summer stage of at least four weeks, including a report. Provides students with professional experience in statistical analyses of environmental data. Can be undertaken at federal or provincial research stations and university research laboratories.",Permission of the instructor based on satisfactory completion of the U2 year of the Environmetrics Domain in the McGill School of Environment,,,,
4,Mathematics (Agric&Envir Sci),,Intermediate Calculus,202,AEMA,Partial differentiation; multiple integrals; vector calculus; infinite series; and introduction to the use of computer-based mathematical tools in applications.,,Not open to students who have taken MATH 222,,,
4,Mathematics (Agric&Envir Sci),,Differential Equations,305,AEMA,"First and second order differential equations, Laplace transforms, numerical solutions, systems of differential equations, series solutions, applications to biological, chemical and engineering systems, use of computer-based mathematical tools.",AEMA 202 or equivalent,Not open to students who have taken MATH 315,,,
4,Mathematics (Agric&Envir Sci),,Statistical Methods,310,AEMA,"Measures of central tendency and dispersion; binomial and Poisson distributions; normal, chi-square, Student's t and Fisher-Snedecor F distributions; estimation and hypothesis testing; simple linear regression and correlation; analysis of variance for simple experimental designs.",,,,,
4,Mathematics (Agric&Envir Sci),,Temporal and Spatial Statistics,414,AEMA,"Temporal statistics: analysis in the time domain, Box-Jenkins forecasting methodology, analysis in the frequency domain, periodogram analysis. Spatial statistics: mapping, autocorrelogram analysis, geostatistics. Statistical inference with autocorrelated sample data.",AEMA 310 or equivalent,,,,
4,Mathematics (Agric&Envir Sci),,Statistical Methods,610,AEMA,"Principles of linear models, multiple regression equations and classification models. Introduction to Analysis of Variance and common statistical designs used in agricultural and environmental sciences. Emphasis on balanced and unbalanced designs and data structures; their analysis and tests of statistical significance.",AEMA 310 or equivalent,,,,
4,Mathematics (Agric&Envir Sci),,Experimental Designs,411,AEMA,"General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.",AEMA 310 or equivalent,,,,
0,Accounting,,Intermediate Financial Reporting,622,ACCT,"Theoretical foundation for financial reporting concepts such as asset measurement, revenue recognition and disclosure of financial information.",MGCR 611,,,,
0,Accounting,,Financial Reporting: Valuation,619,ACCT,"Analysis of financial statements and their uses. A financial statement analysis framework will be developed and applied to: (1) development of business and securities valuations, (2) the prediction of bankruptcy, (3) the strategic planning process, (4) the interpretation of consolidated financial statements.",,,,,
0,Accounting,,Intermediate Financial Reporting,623,ACCT,"Theoretical foundation for financial reporting concepts such as liability and equity measurement, intercorporate investments.",ACCT 622.,,,,
0,Accounting,,Financial Statements,605,ACCT,The company valuation process. Establish frameworks using public data.,ACCT 604,,,,
0,Accounting,,Data Analytics in Accounting,626,ACCT,"Exploration of how financial and non-financial metrics can be linked to business performance through practica application learning. Examination of mandatory and voluntary corporate disclosure, financial statement analysis, return predictability, and fraud detection.",,,,,
0,Accounting,,Management Accounting: Planning & Control,624,ACCT,"Preparation and analysis of management accounting information, effective design and implementation of management accounting systems.",MGCR 611,,,,
0,Accounting,,Issues in Professional Accounting,653,ACCT,"How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Canadian Taxation,625,ACCT,"An overview of the income tax system; emphasis on its impact on selected business decisions. Topics include: individual and corporate taxation, tax shelters, tax planning and international operations.",MGCR 611.,,,,
0,Accounting,,Financial Management in Healthcare,645D2,ACCT,For description see ACCT 645D1.,ACCT 645D1,,,,
0,Accounting,,Financial Management in Healthcare,645D1,ACCT,"Concepts of financial accounting to the non-accountant user of financial information. Fundamental knowledge of financial accounting, including financial statements, accounting “rules”, assets, liabilities and equity, the income statements as well as the financial statement analysis.",,,,,
0,Accounting,,Issues in Professional Accounting,653D2,ACCT,"How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.",ACCT 653D1.,,,,
0,Accounting,,Issues in Professional Accounting,654D1,ACCT,"Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Issues in Professional Accounting,654,ACCT,"Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Issues in Professional Accounting,654D2,ACCT,"Fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making and strategies through case scenarios.",ACCT 654D1,,,,
0,Accounting,,Strategic Aspects of Accounting,663,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Issues in Professional Accounting,653D1,ACCT,"How fundamental concepts in financial accounting and reporting, including technically complex accounting issues and their audit, performance management, tax and finance implications, are integrated into decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Strategic Aspects of Accounting,663D1,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
0,Accounting,,Strategic Aspects of Accounting,664,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Emphasis is also placed on competence required to build good monitoring and control systems and perform financial analysis for different types of entities. Case scenarios are used to integrate these concepts into decision-making.",,Open only to students in the Graduate Certificate in Professional Accounting.,,,
5,Animal Science,,Biochemistry,234,ANSC,"Metabolism in humans and domestic animals. The chemistry of alimentary digestion, absorption, transport, intermediary metabolism and excretion.",FDSC 211 or LSCI 211,,,,
5,Animal Science,,Comparative Anatomy,251,ANSC,Study of the macroscopic anatomy of mammals based on detailed dissection of the dog. Comparison with other domestic species will be emphasized.,,,,,
0,Accounting,,Strategic Aspects of Accounting,663D2,ACCT,"Corporate governance, strategy, risk management, and management reporting needs, with a particular emphasis on their integration with accounting practice, finance and taxation. Formulating deliberate and emergent strategies, and translating those strategies into specific objectives and actions which are used in decision-making.",ACCT 663D1,,,,
6,Anatomy & Cell Biology,,Ph.D. Comprehensive Examination,701D2,ANAT,"Compulsory comprehensive examination to evaluate the students' ability to carry out, present, discuss and defend research in their field of scientific interest.",ANAT 701D1,,,,
5,Animal Science,,Principles of Animal Science,250,ANSC,"Introduction to the scientific principles underlying the livestock and poultry industries. Emphasis will be placed on the breeding, physiology and nutrition of animals raised for the production of food and fibre.",,,,,
5,Animal Science,,Farm Livestock Internship,303,ANSC,"Practical experience in the day-to-day management of a major livestock species (dairy, swine, poultry, or specific combination) on the Macdonald Campus Farm. Interaction with personnel and training in the operations of a farm-animal enterprise.","ANSC 250 (or equivalent, or permission)",,,,
5,Animal Science,,Animal Health and Disease,312,ANSC,An introduction to the pathogenesis and control of diseases in farm animals. Immune response and other protective mechanisms. Implications of animal diseases and drug therapy for product safety and public health.,,,,,
5,Animal Science,,Fundamentals of Population Genetics,326,ANSC,"Population genetics mechanisms in mammals, birds and plant. Factors influencing gene, genotype, and phenotypic frequencies. Effects of different types of selection, Hardy-Weinberg, linkage and recombination, polymorphisms and heterozygosity, population size, random drift and inbreeding on gene and genotype frequencies. Relationship between quantitative genetic parameters and gene frequencies.",,,,,
5,Animal Science,,Mammalian Physiology,323,ANSC,"A study of the organization, functions and regulation of various organ systems in mammals. The nervous, endocrine, muscular, cardiovascular, respiratory, urinary, digestive and reproductive systems are discussed.",,,,,
5,Animal Science,,Principles of Animal Breeding,301,ANSC,"The qualitative and quantitative aspects of genetics as they apply to the economic improvement of domestic mammals and birds. Topics include: animal domestication, animal cytology, Mendelian traits of economic importance, principles of population genetics, statistical tools to describe populations, environmental effects, selection and mating systems.","AEMA 310, LSCI 204",,,,
5,Animal Science,,Food-Borne Pathogens,350,ANSC,"Exploration of the taxonomy, characteristics, epidemiology, mechanisms of pathogenicity, disease, incidence, and factors affecting the survival and growth of pathogenic microorganisms in foods of animal origin; principles of detection, prevention and control of food-borne pathogens (bacteria, fungi, protozoa, helminths, viruses).","MICR 230 or LSCI 230, or permission of instructor",,,,
5,Animal Science,,Eukaryotic Cells and Viruses,400,ANSC,The basic principles of molecular biology and the underlying molecular basis for various methodologies in molecular biology are covered. The molecular genetic basis for viral infections and tumorigenesis will be covered as examples of the use of molecular genetic approaches to address biological problems.,,Not open to students who have taken PARA 400,,,
5,Animal Science,,Metabolic Endocrinology,424,ANSC,"A detailed study of the endocrine system and its role in the maintenance of homeostasis in higher vertebrates, including the endocrine regulation of energy balance.",ANSC 323,,,,
5,Animal Science,,Animal Biotechnology,420,ANSC,"Applications of animal biotechnology in agriculture, biomedicine and environmental preservation, including culture, manipulation and transformation of somatic cells, isolation of stem cells, reproductive biotechnologies, animal cloning by nuclear transplantation, production of transgenic animals, and cell and gene therapies.",,,,,
5,Animal Science,,Dairy and Beef Production Management,451,ANSC,"Overview of the Canadian Dairy and Beef industries with emphasis on products, environment, management systems, reproductive technologies, health, genetic improvement, automation, information recording and use of housing facilities and equipment. Field trips to dairy and beef farms as well as processing units included for illustration and application of concepts.","ANSC 250 - Principles of Animal Science, or permission of instructor.",Not open to students having taken ANSC 450 or ANSC 452. Restricted to U2 or higher.,,,
5,Animal Science,,Animal Nutrition and Metabolism,433,ANSC,"Introduction to fundamental aspects of animal nutrition, including gastrointestinal anatomy and physiology; nutrient digestion, absorption, and metabolism; nutrient functions and requirements of livestock species; evaluation of feedstuffs and their use in ration formulation; and feeding strategies. Laboratory classes will include hands-on experience on feed analyses, gastrointestinal tract dissections, nutritional experiments and demonstrations in livestock species as well as computer-based ration balancing exercises.",,,,,
5,Animal Science,,Special Topics: Animal Science,455,ANSC,Topics that are not otherwise available in formal courses. Investigation of a particular topic will be carried out under the supervision of a staff member who has expertise in the area of study chosen by the student.,,,,,
5,Animal Science,,Swine and Poultry Production,458,ANSC,"Application and integration of biological principles of genetics, physiology, anatomy, nutrition, and health of poultry and swine production systems in Canada. Major factors and practices affecting productivity at the different stages of swine and poultry production. Field trips to farms and related enterprises.","ANSC 250 - Principles of Animal Science, or permission of instructor.",Not open to students having taken ANSC 454 or ANSC 456. Restricted to U2 or higher.,,,
5,Animal Science,,Population Genetics,504,ANSC,"Considerations of the basic principles of Mendelian genetics dealing with the genetic properties of populations and extension to the simultaneous segregation of genes at many loci, polygenic inheritance and an introduction to quantitative genetics, including mechanisms of transmission, segregation, linkages between genes and the effect of natural and artificial selection.",,,,,
4,Mathematics (Agric&Envir Sci),,Experimental Designs,611,AEMA,"General principles of experimental design, split-plot designs, spatial heterogeneity and experimental design, incomplete block designs and unbalanced designs, analysis of repeated measures, multivariate and modified univariate analyses of variance, central composite designs.",AEMA 310 or equivalent,,,,
7,Physics (Agric & Envir Sci),,Introductory Physics,112,AEPH,"Accelerated motion. Newton's Laws. Force, work and energy, power; momentum. Conservation principles. Circular motion. Simple harmonic motion. Waves and sound.",,Not open to students who have taken PHYS 101 or PHYS 131 or AEPH 113 or CEGEP objective 00UR or equivalent. Not open to students in Bioresource Engineering.,,,
5,Animal Science,,Developmental Biology and Reproduction,324,ANSC,"Focus on the hormonal, cellular and molecular aspects of reproduction and development (gametogenesis, folliculogenesis, fertilization, embryonic and foetal development, parturition, lactation period, periods before and after puberty). Emphasis on underlying cellular mechanisms and their regulation by hormones and the environment.",,,,,
4,Mathematics (Agric&Envir Sci),,Temporal and Spatial Statistics,614,AEMA,"Temporal statistics: analysis in the time domain, Box-Jenkins forecasting methodology, analysis in the frequency domain, periodogram analysis. Spatial statistics: mapping, autocorrelogram analysis, geostatistics. Statistical inference with autocorrelated sample data.",AEMA 310 or equivalent,,,,
5,Animal Science,,Project,490,ANSC,A project to be completed under the supervision of a staff member of the Department of Animal Science. An agreement between student and the involved staff member must be reached prior to registration.,,,,,
7,Physics (Agric & Envir Sci),,Physics,113,AEPH,The basic laws and principles of Newtonian mechanics - oscillations and waves. Includes calculus-based applications.,Precalculus Mathematics AEMA 100 or equivalent. Preparatory Physics AEPH 110 or equivalent,,,,
7,Physics (Agric & Envir Sci),,Physics,115,AEPH,The basic laws of electricity and magnetism - geometrical and physical optics. Includes calculus-based applications.,,,,,
7,Physics (Agric & Envir Sci),,Introductory Physics,114,AEPH,"Electric and magnetic properties of matter: electrostatics, electric currents, the link between electric and magnetic phenomena, geometrical optics, interference diffraction.","AEPH 112 or AEPH 113 or PHYS 101 or PHYS 131 or CEGEP objective 00UR or equivalents, or permission of instructor",Not open to students who have taken PHYS 102 or PHYS 142 or AEPH 115 or CEGEP objective 00US or equivalent. Not open to students in Bioresource Engineering.,,,
7,Physics (Agric & Envir Sci),,Physics Laboratory,120,AEPH,The laboratory component of AEPH 112/AEPH 113. Illustrative experiments.,Permission of instructor.,"Open only to entering students who have the lecture equivalent of AEPH 112 or AEPH 113. Not open to students who have taken or are taking AEPH 112, AEPH 113, PHYS 101, PHYS 107, PHYS 117, PHYS 131.",,,
7,Physics (Agric & Envir Sci),,Physics Laboratory,122,AEPH,The laboratory component of AEPH 114/AEPH 115. Illustrative experiments.,Permission of instructor.,"Open only to entering students who have the lecture equivalent of AEPH 114 or AEPH 115. Not open to students who have taken or are taking AEPH 114, AEPH 115, PHYS 102, PHYS 108, PHYS 118, PHYS 142.",,,
8,AERO,,Introduction to Aerospace Engineering,401,AERO,"Basic concepts in all relevant aspects of aerospace engineering. Introduction to aircraft and spacecraft components, systems and operation. Aerodynamic and flight mechanics. Structures and materials. Propulsion systems. Manufacturing processes. Control and systems. Avionics and navigation.",,Restricted to students enrolled in the Minor in Aerospace Engineering. Open to other students with instructor permission.,,,
8,AERO,,Aerospace Design and Certification Process,410,AERO,"Design and certification process for aircraft, helicopters and spacecraft. Operation and performance requirements. Preliminary and detailed design process. Performance analysis. Regulatory agencies overview. Certification process. Life cycle analysis. Cost analysis. Flight testing programs. Delivery and operation.",AERO 401,Restricted to students enrolled in the Minor in Aerospace Engineering,,,
8,AERO,,Aerospace Project,460D1,AERO,"Application of the material learned in other courses in the Minor in Aerospace Engineering to an applied project. Team project work will involve the design, fabrication, verification, and application of an aerospace system / component. Lectures on topics related to design and management of design projects. Emphasis is on the completion of a project of professional quality in collaboration with the aerospace industry.",,Restricted to students enrolled in the Minor in Aerospace Engineering.,,,
8,AERO,,Aerospace Project,460D2,AERO,For description see AERO 460D1.,AERO 460D1,,,,
